institution_number,institution_name,type,first_date,last_date,num_months
10336,CLO FUNDING CORPORATION,Originator,2010-05-01,2012-01-01,13
10346,KENTUCKY EMPLOYEES CREDIT UNION,Originator,2010-05-01,2010-08-01,2
10355,TRANS AMERICA MORTGAGE CORP,Originator,2010-09-01,2010-09-01,1
10366,SKOGMAN MORTGAGE COMPANY,Originator,2010-05-01,2011-01-01,9
10367,BORTON AND ASSOCIATES INC,Originator,2010-06-01,2010-12-01,3
10376,VALLEY FINANCIAL INC,Originator,2010-05-01,2011-02-01,7
1038,"VALON MORTGAGE, INC.",Originator,2023-04-01,2025-06-01,22
10382,BJV FINANCIAL SERVICES INC,Originator,2010-05-01,2011-03-01,11
10383,VALUE MORTGAGE INC,Originator,2010-09-01,2011-01-01,4
10388,AMSTERDAM MORTGAGE CORP,Originator,2010-07-01,2011-06-01,6
10404,MID AMERICA MORTGAGE SERVICES OF IL INC,Originator,2010-05-01,2011-01-01,8
10406,KEY MORTGAGE SERVICES INC,Originator,2010-06-01,2011-02-01,9
10410,VERITY CREDIT UNION,Originator,2010-07-01,2010-07-01,1
10429,FAITH FINANCIAL GROUP INC,Originator,2010-05-01,2010-11-01,5
1043,STG MORTGAGE INC,Originator,2022-09-01,2025-06-01,31
1043,STG MORTGAGE INC,Sponsor,2022-06-01,2025-06-01,22
10433,INTERURBAN MORTGAGE INC,Originator,2010-05-01,2010-12-01,4
10437,R H LENDING INC,Originator,2010-06-01,2015-02-01,53
10437,R H LENDING INC,Sponsor,2011-05-01,2012-05-01,13
10441,THE FIRST A NATIONAL BANKING ASSOC,Originator,2010-05-01,2016-05-01,68
1045,"RMC HOME MORTGAGE, LLC",Originator,2022-03-01,2025-06-01,40
10454,HAGERSTOWN TRUST CO,Originator,2010-05-01,2010-05-01,1
10458,COLONIAL MORTGAGE COMPANY LLC,Originator,2010-06-01,2011-02-01,6
10462,CUSTOM FUNDING USA INC,Originator,2010-05-01,2011-02-01,10
1047,TRAILBLAZER MORTGAGE LLC,Originator,2022-01-01,2025-06-01,37
