category,file_name,relative_to_project,relative_to_data,parent_directory,suffix,size_bytes,size_mb,size_readable,modified_utc,created_utc
raw,fha_hecm_snapshot_20200701.xls,data\raw\hecm\fha_hecm_snapshot_20200701.xls,raw\hecm\fha_hecm_snapshot_20200701.xls,raw\hecm,xls,5951488,5.6758,5.68 MB,2025-06-07T13:57:02.094529+00:00,2025-06-07T13:56:55.939035+00:00
raw,fha_hecm_snapshot_20200801.xls,data\raw\hecm\fha_hecm_snapshot_20200801.xls,raw\hecm\fha_hecm_snapshot_20200801.xls,raw\hecm,xls,5844992,5.5742,5.57 MB,2025-06-07T13:56:53.550422+00:00,2025-06-07T13:56:47.349528+00:00
raw,fha_hecm_snapshot_20200901.xls,data\raw\hecm\fha_hecm_snapshot_20200901.xls,raw\hecm\fha_hecm_snapshot_20200901.xls,raw\hecm,xls,5855744,5.5845,5.58 MB,2025-06-07T13:56:44.891818+00:00,2025-06-07T13:56:38.831621+00:00
raw,fha_hecm_snapshot_20201001.xls,data\raw\hecm\fha_hecm_snapshot_20201001.xls,raw\hecm\fha_hecm_snapshot_20201001.xls,raw\hecm,xls,5791744,5.5234,5.52 MB,2025-06-07T13:56:36.445695+00:00,2025-06-07T13:56:30.467523+00:00
raw,fha_hecm_snapshot_20201101.xls,data\raw\hecm\fha_hecm_snapshot_20201101.xls,raw\hecm\fha_hecm_snapshot_20201101.xls,raw\hecm,xls,5640192,5.3789,5.38 MB,2025-06-07T13:56:28.096568+00:00,2025-06-07T13:56:22.303604+00:00
raw,fha_hecm_snapshot_20201201.xls,data\raw\hecm\fha_hecm_snapshot_20201201.xls,raw\hecm\fha_hecm_snapshot_20201201.xls,raw\hecm,xls,6628352,6.3213,6.32 MB,2025-06-07T13:56:19.886378+00:00,2025-06-07T13:56:13.034299+00:00
raw,fha_hecm_snapshot_20210101.xls,data\raw\hecm\fha_hecm_snapshot_20210101.xls,raw\hecm\fha_hecm_snapshot_20210101.xls,raw\hecm,xls,7655424,7.3008,7.30 MB,2025-06-07T13:56:10.585122+00:00,2025-06-07T13:56:02.727704+00:00
raw,fha_hecm_snapshot_20210201.xls,data\raw\hecm\fha_hecm_snapshot_20210201.xls,raw\hecm\fha_hecm_snapshot_20210201.xls,raw\hecm,xls,8392192,8.0034,8.00 MB,2025-06-07T13:56:00.317576+00:00,2025-06-07T13:55:51.642634+00:00
raw,fha_hecm_snapshot_20210301.xls,data\raw\hecm\fha_hecm_snapshot_20210301.xls,raw\hecm\fha_hecm_snapshot_20210301.xls,raw\hecm,xls,8454656,8.063,8.06 MB,2025-06-07T13:55:49.258930+00:00,2025-06-07T13:55:40.538826+00:00
raw,fha_hecm_snapshot_20210401.xls,data\raw\hecm\fha_hecm_snapshot_20210401.xls,raw\hecm\fha_hecm_snapshot_20210401.xls,raw\hecm,xls,8489472,8.0962,8.10 MB,2025-06-07T13:55:38.069129+00:00,2025-06-07T13:55:29.333394+00:00
